0827EA.MY,MyETF Dow Jones U.S. Titans 50 
0828EA.MY,TradePlus Shariah Gold ETF
0829EA.MY,TradePlus S&P New China Tracker ETF
0834EA.MY,Kenanga KLCI Daily 2x Leveraged ETF
0835EA.MY,Kenanga KLCI Daily 
0836EA.MY,TradePlus DWA Malaysia Momentum Tracker ETF
0837EA.MY,TradePlus MSCI Asia ex Japan REITs Tracker ETF
0838EA.MY,VP-DJ Shariah China A-Shares 100 ETF
1015.MY,AMMB Holdings Berhad
1023.MY,CIMB Group Holdings Berhad
1058.MY,Manulife Holdings Berhad
1066.MY,RHB Capital Berhad
1082.MY,Hong Leong Financial Group Berhad
1147.MY,GOB
1155.MY,Malayan Banking Berhad
1163.MY,Allianz Malaysia Berhad
1163PA.MY,ALLIANZ-PA
1171.MY,Malaysia Building Society Bhd
1198.MY,MAA Group Berhad
1287.MY,Pan Malaysia Holdings Bhd
1295.MY,Public Bank Berhad
1368.MY,UEM Edgenta Berhad
1481.MY,Advance Synergy Berhad
1503.MY,GuocoLand 
1538.MY,Symphony Life Berhad
1562.MY,Berjaya Sports Toto Berhad
1589.MY,Iskandar Waterfront City Berhad
1619.MY,DRB-HICOM Berhad
1643.MY,Landmarks Bhd
1651.MY,Malaysian Resources Corporation Berhad
1694.MY,Menang Corp. M Bhd
1724.MY,Paramount Corporation Berhad
1818.MY,Bursa Malaysia Berhad
1899.MY,Batu Kawan Berhad
1902.MY,PINEPAC
1929.MY,Chin Teck Plantations Berhad
1961.MY,IOI Corp.Bhd
1996.MY,Kretam Holdings Berhad
2038.MY,Negri Sembilan Oil Palms Berhad
2054.MY,TDM Berhad
2062.MY,Harbour-Link Group Berhad
2089.MY,United Plantations Bhd
2097.MY,EastLand Equity Bhd
2127.MY,Comfort Gloves Berhad
2135.MY,GOPENG
2143.MY,ECM Libra Financial Group Berhad
2186.MY,Kuchai Development Bhd
2224.MY,Selangor Dredging Bhd
2259.MY,Talam Transform Berhad
2283.MY,Zelan Berhad 
2291.MY,GENP
2429.MY,Tanco Holdings Bhd
2445.MY,Kuala Lumpur Kepong Berhad
2453.MY,KLUANG
2488.MY,Alliance Financial Group Berhad.
2542.MY,Riverview Rubber Estates, Berhad
2569.MY,Sungei Bagan Rubber Co. Malaya Bhd
2593.MY,UMCCA
2607.MY,Inch Kenneth Kajang Rubber Public Limited Company
2658.MY,Ajinomoto Malaysia Bhd
2674.MY,Aluminium Co. of Malaysia Bhd
2739.MY,Sino Hua-An International Bhd
2755.MY,FCW Holdings Bhd
2771.MY,Boustead Holdings Bhd
2828.MY,CI Holdings Bhd
2836.MY,Carlsberg Brewery Malaysia Bhd
2852.MY,Cahya Mata Sarawak Bhd
2984.MY,FACB Industries Inc. Bhd
3018.MY,Olympia Industries Berhad
3026.MY,Dutch Lady Milk Industries Bhd
3034.MY,Hap Seng Consolidated Berhad
3042.MY,Petron Malaysia Refining & Marketing Bhd
3069.MY,Mega First Corp. Bhd
3107.MY,Fima Corp. Bhd
3158.MY,Ynh Property Berhad
3174.MY,Land & General Bhd
3182.MY,Genting Berhad
3204.MY,George Kent 
3239.MY,Berjaya Assets Berhad
3247.MY,GUH Holdings Berhad
3255.MY,Heineken Malaysia Berhad
